X;CH1;CH2;CH3;CH4;time;Start;Increment
Sequence;Volt;Volt;Volt;Volt;c;-0,12;0,00
860,00;0,02;3,76;1,34;0,65;0,172;;
861,00;0,02;3,80;1,35;0,65;0,1722;;
862,00;0,02;3,76;1,35;0,65;0,1724;;
863,00;0,02;3,80;1,35;0,65;0,1726;;
864,00;0,02;3,76;1,35;0,65;0,1728;;
865,00;0,02;3,68;1,36;0,65;0,173;;
866,00;0,02;3,68;1,36;0,65;0,1732;;
867,00;0,02;3,80;1,35;0,65;0,1734;;
868,00;0,02;3,68;1,36;0,65;0,1736;;
869,00;0,02;3,80;1,36;0,65;0,1738;;
870,00;0,02;3,76;1,36;0,65;0,174;;
871,00;0,02;3,80;1,36;0,65;0,1742;;
872,00;0,02;3,76;1,36;0,65;0,1744;;
873,00;0,02;3,76;1,37;0,65;0,1746;;
874,00;0,02;3,76;1,37;0,65;0,1748;;
875,00;0,02;3,80;1,38;0,65;0,175;;
876,00;0,02;3,76;1,37;0,65;0,1752;;
877,00;0,02;3,80;1,38;0,65;0,1754;;
878,00;0,02;3,76;1,37;0,65;0,1756;;
879,00;0,02;3,80;1,38;0,65;0,1758;;
880,00;0,02;3,76;1,37;0,65;0,176;;
881,00;0,02;3,80;1,38;0,65;0,1762;;
882,00;0,02;3,76;1,38;0,65;0,1764;;
883,00;0,02;3,80;1,38;0,65;0,1766;;
884,00;0,02;3,76;1,38;0,65;0,1768;;
885,00;0,02;3,80;1,38;0,65;0,177;;
886,00;0,02;3,76;1,38;0,65;0,1772;;
887,00;0,02;3,80;1,38;0,63;0,1774;;
888,00;0,02;3,76;1,38;0,63;0,1776;;
889,00;0,02;3,76;1,39;0,49;0,1778;;
890,00;0,02;3,76;1,39;0,49;0,178;;
891,00;0,02;3,80;1,38;0,37;0,1782;;
892,00;0,02;3,76;1,38;0,36;0,1784;;
893,00;0,02;3,80;1,37;0,26;0,1786;;
894,00;0,02;3,76;1,38;0,26;0,1788;;
895,00;0,02;3,80;1,38;0,17;0,179;;
896,00;0,02;3,76;1,38;0,17;0,1792;;
897,00;0,02;3,76;1,38;0,14;0,1794;;
898,00;0,02;3,76;1,38;0,14;0,1796;;
899,00;0,02;3,80;1,38;0,14;0,1798;;
900,00;0,02;3,76;1,38;0,14;0,18;;
901,00;0,02;3,80;1,37;0,14;0,1802;;
902,00;0,02;3,76;1,37;0,14;0,1804;;
903,00;0,02;3,80;1,38;0,14;0,1806;;
904,00;0,02;3,76;1,38;0,14;0,1808;;
905,00;0,02;3,80;1,36;0,14;0,181;;
906,00;0,02;3,76;1,37;0,14;0,1812;;
907,00;0,02;3,80;1,36;0,14;0,1814;;
908,00;0,02;3,76;1,37;0,14;0,1816;;
909,00;0,02;3,80;1,36;0,14;0,1818;;
910,00;0,02;3,76;1,36;0,14;0,182;;
911,00;0,02;3,80;1,36;0,14;0,1822;;
912,00;0,02;3,76;1,36;0,14;0,1824;;
913,00;0,02;3,80;1,35;0,14;0,1826;;
914,00;0,02;3,76;1,36;0,14;0,1828;;
915,00;0,02;3,80;1,35;0,15;0,183;;
916,00;0,02;3,76;1,35;0,15;0,1832;;
917,00;0,02;3,80;1,34;0,17;0,1834;;
918,00;0,02;3,76;1,34;0,17;0,1836;;
919,00;0,02;3,80;1,34;0,19;0,1838;;
920,00;0,02;3,76;1,34;0,19;0,184;;
921,00;0,02;3,80;1,33;0,21;0,1842;;
922,00;0,02;3,76;1,34;0,21;0,1844;;
923,00;0,02;3,80;1,33;0,22;0,1846;;
924,00;0,02;3,76;1,33;0,22;0,1848;;
925,00;0,02;3,76;1,32;0,23;0,185;;
926,00;0,02;3,76;1,32;0,23;0,1852;;
927,00;0,02;3,80;1,31;0,24;0,1854;;
928,00;0,02;3,76;1,32;0,24;0,1856;;
929,00;0,02;3,80;1,31;0,24;0,1858;;
930,00;0,02;3,76;1,30;0,24;0,186;;
931,00;0,02;3,76;1,31;0,24;0,1862;;
932,00;0,02;3,76;1,30;0,24;0,1864;;
933,00;0,02;3,80;1,29;0,24;0,1866;;
934,00;0,02;3,76;1,30;0,24;0,1868;;
935,00;0,02;3,80;1,29;0,23;0,187;;
936,00;0,02;3,76;1,29;0,24;0,1872;;
937,00;0,02;3,80;1,28;0,23;0,1874;;
938,00;0,02;3,76;1,29;0,23;0,1876;;
939,00;0,02;3,80;1,27;0,22;0,1878;;
940,00;0,02;3,76;1,28;0,23;0,188;;
941,00;0,02;3,80;1,26;0,22;0,1882;;
942,00;0,02;3,76;1,27;0,22;0,1884;;
943,00;0,02;3,80;1,26;0,21;0,1886;;
944,00;0,02;3,76;1,26;0,22;0,1888;;
945,00;0,02;3,80;1,25;0,21;0,189;;
946,00;0,02;3,76;1,25;0,21;0,1892;;
947,00;0,02;3,80;1,24;0,20;0,1894;;
948,00;0,02;3,80;1,25;0,21;0,1896;;
949,00;0,02;3,68;1,24;0,20;0,1898;;
950,00;0,02;3,76;1,24;0,20;0,19;;
951,00;0,02;3,76;1,23;0,21;0,1902;;
952,00;0,02;3,76;1,23;0,20;0,1904;;
953,00;0,02;3,80;1,22;0,20;0,1906;;
954,00;0,02;3,76;1,22;0,20;0,1908;;
955,00;0,02;3,80;1,21;0,20;0,191;;
956,00;0,02;3,76;1,22;0,20;0,1912;;
957,00;0,02;3,80;1,20;0,20;0,1914;;
958,00;0,02;3,76;1,21;0,20;0,1916;;
959,00;0,02;3,80;1,20;0,20;0,1918;;
960,00;0,02;3,80;1,20;0,20;0,192;;
961,00;0,02;3,76;1,19;0,20;0,1922;;
962,00;0,02;3,68;1,19;0,20;0,1924;;
963,00;0,02;3,80;1,18;0,20;0,1926;;
964,00;0,02;3,80;1,18;0,20;0,1928;;
965,00;0,02;3,72;1,17;0,20;0,193;;
966,00;0,02;3,68;1,18;0,20;0,1932;;
967,00;0,02;3,80;1,17;0,20;0,1934;;
968,00;0,02;3,76;1,17;0,20;0,1936;;
969,00;0,02;3,80;1,16;0,20;0,1938;;
970,00;0,02;3,76;1,16;0,20;0,194;;
971,00;0,02;3,80;1,15;0,21;0,1942;;
972,00;0,02;3,76;1,16;0,20;0,1944;;
973,00;0,02;3,80;1,14;0,21;0,1946;;
974,00;0,02;3,76;1,15;0,20;0,1948;;
975,00;0,02;3,76;1,14;0,21;0,195;;
976,00;0,02;3,80;1,14;0,20;0,1952;;
977,00;0,02;3,68;1,13;0,21;0,1954;;
978,00;0,02;3,68;1,14;0,20;0,1956;;
979,00;0,02;3,80;1,12;0,21;0,1958;;
980,00;0,02;3,68;1,13;0,21;0,196;;
981,00;0,02;3,80;1,11;0,20;0,1962;;
982,00;0,02;3,76;1,12;0,20;0,1964;;
983,00;0,02;3,76;1,11;0,21;0,1966;;
984,00;0,02;3,76;1,11;0,20;0,1968;;
985,00;0,02;3,80;1,10;0,21;0,197;;
986,00;0,02;3,76;1,11;0,21;0,1972;;
987,00;0,02;3,80;1,09;0,20;0,1974;;
988,00;0,02;3,76;1,10;0,21;0,1976;;
989,00;0,02;3,80;1,09;0,20;0,1978;;
990,00;0,02;3,76;1,10;0,20;0,198;;
991,00;0,02;3,80;1,08;0,21;0,1982;;
992,00;0,02;3,76;1,09;0,21;0,1984;;
993,00;0,02;3,80;1,08;0,20;0,1986;;
994,00;0,02;3,76;1,08;0,20;0,1988;;
995,00;0,02;3,80;1,07;0,21;0,199;;
996,00;0,02;3,76;1,08;0,21;0,1992;;
997,00;0,02;3,80;1,07;0,20;0,1994;;
998,00;0,02;3,76;1,07;0,21;0,1996;;
999,00;0,02;3,80;1,06;0,20;0,1998;;
1000,00;0,02;3,76;1,06;0,21;0,2;;
1001,00;0,02;3,80;1,06;0,20;0,2002;;
1002,00;0,02;3,76;1,06;0,21;0,2004;;
1003,00;0,02;3,80;1,05;0,20;0,2006;;
1004,00;0,02;3,76;1,05;0,21;0,2008;;
1005,00;0,02;3,80;1,04;0,20;0,201;;
1006,00;0,02;3,76;1,05;0,21;0,2012;;
1007,00;0,02;3,76;1,04;0,20;0,2014;;
1008,00;0,02;3,76;1,04;0,21;0,2016;;
1009,00;0,02;3,80;1,03;0,20;0,2018;;
1010,00;0,02;3,76;1,04;0,20;0,202;;
1011,00;0,02;3,80;1,02;0,21;0,2022;;
1012,00;0,02;3,76;1,03;0,21;0,2024;;
1013,00;0,02;3,80;1,02;0,20;0,2026;;
1014,00;0,02;3,76;1,02;0,21;0,2028;;
1015,00;0,02;3,80;1,03;0,20;0,203;;
1016,00;0,02;3,76;1,02;0,21;0,2032;;
1017,00;0,02;3,84;1,02;0,20;0,2034;;
1018,00;0,02;3,76;1,02;0,21;0,2036;;
1019,00;0,02;3,84;1,01;0,20;0,2038;;
1020,00;0,02;3,76;1,02;0,21;0,204;;
1021,00;0,02;3,84;1,00;0,20;0,2042;;
1022,00;0,02;3,84;1,01;0,20;0,2044;;
1023,00;0,02;3,76;1,00;0,21;0,2046;;
1024,00;0,02;3,76;1,00;0,21;0,2048;;
1025,00;0,02;3,84;1,00;0,20;0,205;;
1026,00;0,02;3,80;1,00;0,21;0,2052;;
1027,00;0,02;3,76;1,00;0,20;0,2054;;
1028,00;0,02;3,76;1,00;0,20;0,2056;;
1029,00;0,02;3,80;0,99;0,21;0,2058;;
1030,00;0,02;3,76;1,00;0,21;0,206;;
1031,00;0,02;3,80;0,98;0,20;0,2062;;
1032,00;0,02;3,76;0,98;0,21;0,2064;;
1033,00;0,02;3,84;1,00;0,20;0,2066;;
1034,00;0,02;3,84;0,99;0,20;0,2068;;
1035,00;0,02;3,76;0,98;0,21;0,207;;
1036,00;0,02;3,84;0,98;0,21;0,2072;;
1037,00;0,02;3,76;0,99;0,20;0,2074;;
1038,00;0,02;3,84;0,98;0,21;0,2076;;
1039,00;0,02;3,76;0,98;0,20;0,2078;;
1040,00;0,02;3,76;0,98;0,21;0,208;;
1041,00;0,02;3,80;0,98;0,20;0,2082;;
1042,00;0,02;3,76;0,98;0,21;0,2084;;
1043,00;0,02;3,80;0,97;0,20;0,2086;;
1044,00;0,02;3,76;0,98;0,20;0,2088;;
1045,00;0,02;3,76;0,97;0,21;0,209;;
1046,00;0,02;3,76;0,98;0,21;0,2092;;
1047,00;0,02;3,84;0,97;0,20;0,2094;;
1048,00;0,02;3,76;0,98;0,21;0,2096;;
1049,00;0,02;3,84;0,97;0,20;0,2098;;
1050,00;0,02;3,84;0,97;0,21;0,21;;
1051,00;0,02;3,80;0,98;0,20;0,2102;;
1052,00;0,02;3,80;0,97;0,21;0,2104;;
1053,00;0,02;3,84;0,96;0,20;0,2106;;
1054,00;0,02;3,80;0,97;0,21;0,2108;;
1055,00;0,02;3,84;0,96;0,20;0,211;;
1056,00;0,02;3,84;0,97;0,21;0,2112;;
1057,00;0,02;3,76;0,96;0,20;0,2114;;
1058,00;0,02;3,84;0,96;0,21;0,2116;;
1059,00;0,02;3,76;0,96;0,20;0,2118;;
1060,00;0,02;3,76;0,96;0,21;0,212;;
1061,00;0,02;3,84;0,96;0,20;0,2122;;
1062,00;0,02;3,76;0,96;0,21;0,2124;;
1063,00;0,02;3,84;0,96;0,20;0,2126;;
1064,00;0,02;3,84;0,96;0,21;0,2128;;
1065,00;0,02;3,76;0,96;0,20;0,213;;
1066,00;0,02;3,80;0,96;0,21;0,2132;;
1067,00;0,02;3,84;0,96;0,20;0,2134;;
1068,00;0,02;3,84;0,96;0,21;0,2136;;
1069,00;0,02;3,80;0,96;0,20;0,2138;;
1070,00;0,02;3,84;0,96;0,20;0,214;;
1071,00;0,02;3,76;0,96;0,21;0,2142;;
1072,00;0,02;3,76;0,96;0,21;0,2144;;
1073,00;0,02;3,84;0,96;0,20;0,2146;;
1074,00;0,02;3,76;0,96;0,20;0,2148;;
1075,00;0,02;3,80;0,96;0,21;0,215;;
1076,00;0,02;3,76;0,96;0,20;0,2152;;
1077,00;0,02;3,84;0,96;0,21;0,2154;;
1078,00;0,02;3,76;0,96;0,21;0,2156;;
1079,00;0,02;3,84;0,96;0,20;0,2158;;
1080,00;0,02;3,84;0,96;0,20;0,216;;
1081,00;0,02;3,76;0,95;0,21;0,2162;;
1082,00;0,02;3,84;0,96;0,21;0,2164;;
1083,00;0,02;3,80;0,95;0,20;0,2166;;
1084,00;0,02;3,80;0,96;0,21;0,2168;;
1085,00;0,02;3,84;0,96;0,20;0,217;;
1086,00;0,02;3,84;0,96;0,20;0,2172;;
1087,00;0,02;3,76;0,96;0,21;0,2174;;
1088,00;0,02;3,76;0,96;0,20;0,2176;;
1089,00;0,02;3,84;0,96;0,21;0,2178;;
1090,00;0,02;3,76;0,96;0,20;0,218;;
1091,00;0,02;3,80;0,96;0,21;0,2182;;
1092,00;0,02;3,76;0,96;0,20;0,2184;;
1093,00;0,02;3,76;0,96;0,21;0,2186;;
1094,00;0,02;3,76;0,96;0,20;0,2188;;
1095,00;0,02;3,80;0,96;0,21;0,219;;
1096,00;0,02;3,76;0,96;0,21;0,2192;;
1097,00;0,02;3,84;0,97;0,20;0,2194;;
1098,00;0,02;3,84;0,96;0,20;0,2196;;
1099,00;0,02;3,76;0,97;0,21;0,2198;;
1100,00;0,02;3,76;0,96;0,20;0,22;;
1101,00;0,02;3,84;0,97;0,21;0,2202;;
1102,00;0,02;3,76;0,97;0,20;0,2204;;
1103,00;0,02;3,80;0,96;0,21;0,2206;;
1104,00;0,02;3,76;0,97;0,21;0,2208;;
1105,00;0,02;3,80;0,98;0,20;0,221;;
1106,00;0,02;3,76;0,97;0,20;0,2212;;
1107,00;0,02;3,80;0,98;0,21;0,2214;;
1108,00;0,02;3,76;0,97;0,21;0,2216;;
1109,00;0,02;3,80;0,98;0,20;0,2218;;
1110,00;0,02;3,76;0,98;0,20;0,222;;
1111,00;0,02;3,80;0,97;0,21;0,2222;;
1112,00;0,02;3,76;0,98;0,20;0,2224;;
1113,00;0,02;3,76;0,98;0,21;0,2226;;
1114,00;0,02;3,76;0,98;0,20;0,2228;;
1115,00;0,02;3,80;0,98;0,21;0,223;;
1116,00;0,02;3,76;0,98;0,21;0,2232;;
1117,00;0,02;3,80;0,99;0,20;0,2234;;
1118,00;0,02;3,76;0,98;0,21;0,2236;;
1119,00;0,02;3,80;0,99;0,20;0,2238;;
1120,00;0,02;3,76;0,99;0,21;0,224;;
1121,00;0,02;3,80;1,00;0,20;0,2242;;
1122,00;0,02;3,76;0,99;0,20;0,2244;;
1123,00;0,02;3,80;1,00;0,21;0,2246;;
1124,00;0,02;3,68;0,99;0,20;0,2248;;
1125,00;0,02;3,80;1,00;0,21;0,225;;
1126,00;0,02;3,68;1,00;0,21;0,2252;;
1127,00;0,02;3,80;1,00;0,20;0,2254;;
1128,00;0,02;3,80;1,00;0,21;0,2256;;
1129,00;0,02;3,68;1,01;0,20;0,2258;;
1130,00;0,02;3,76;1,00;0,20;0,226;;
1131,00;0,02;3,80;1,02;0,21;0,2262;;
1132,00;0,02;3,80;1,01;0,21;0,2264;;
1133,00;0,02;3,68;1,02;0,20;0,2266;;
1134,00;0,02;3,68;1,02;0,21;0,2268;;
1135,00;0,02;3,80;1,02;0,20;0,227;;
1136,00;0,02;3,68;1,02;0,20;0,2272;;
1137,00;0,02;3,76;1,03;0,21;0,2274;;
1138,00;0,02;3,68;1,03;0,20;0,2276;;
1139,00;0,02;3,72;1,04;0,21;0,2278;;
1140,00;0,02;3,72;1,04;0,21;0,228;;
1141,00;0,02;3,68;1,04;0,20;0,2282;;
1142,00;0,02;3,68;1,04;0,20;0,2284;;
1143,00;0,02;3,72;1,05;0,21;0,2286;;
1144,00;0,02;3,72;1,04;0,21;0,2288;;
1145,00;0,02;3,68;1,06;0,20;0,229;;
1146,00;0,02;3,68;1,06;0,20;0,2292;;
1147,00;0,02;3,80;1,06;0,21;0,2294;;
1148,00;0,02;3,68;1,06;0,21;0,2296;;
1149,00;0,02;3,80;1,07;0,20;0,2298;;
1150,00;0,02;3,68;1,06;0,20;0,23;;
1151,00;0,02;3,76;1,08;0,21;0,2302;;
1152,00;0,02;3,68;1,07;0,20;0,2304;;
1153,00;0,02;3,72;1,08;0,21;0,2306;;
1154,00;0,02;3,72;1,08;0,20;0,2308;;
1155,00;0,02;3,68;1,09;0,21;0,231;;
1156,00;0,02;3,68;1,09;0,21;0,2312;;
1157,00;0,02;3,72;1,10;0,20;0,2314;;
1158,00;0,02;3,68;1,09;0,20;0,2316;;
1159,00;0,02;3,72;1,11;0,21;0,2318;;
1160,00;0,02;3,72;1,10;0,20;0,232;;
1161,00;0,02;3,68;1,12;0,21;0,2322;;
1162,00;0,02;3,68;1,11;0,21;0,2324;;
1163,00;0,02;3,72;1,12;0,20;0,2326;;
1164,00;0,02;3,72;1,12;0,20;0,2328;;
1165,00;0,02;3,68;1,13;0,21;0,233;;
1166,00;0,02;3,72;1,13;0,20;0,2332;;
1167,00;0,02;3,68;1,14;0,21;0,2334;;
1168,00;0,02;3,72;1,13;0,20;0,2336;;
1169,00;0,02;3,68;1,14;0,21;0,2338;;
1170,00;0,02;3,72;1,14;0,20;0,234;;
1171,00;0,02;3,68;1,16;0,21;0,2342;;
1172,00;0,02;3,68;1,15;0,21;0,2344;;
1173,00;0,02;3,72;1,16;0,20;0,2346;;
1174,00;0,02;3,72;1,16;0,20;0,2348;;
1175,00;0,02;3,68;1,17;0,21;0,235;;
1176,00;0,02;3,68;1,17;0,20;0,2352;;
1177,00;0,02;3,72;1,18;0,21;0,2354;;
1178,00;0,02;3,68;1,18;0,21;0,2356;;
1179,00;0,02;3,72;1,19;0,20;0,2358;;
1180,00;0,02;3,72;1,18;0,20;0,236;;
1181,00;0,02;3,68;1,20;0,21;0,2362;;
1182,00;0,02;3,72;1,19;0,21;0,2364;;
1183,00;0,02;3,68;1,20;0,20;0,2366;;
1184,00;0,02;3,68;1,20;0,21;0,2368;;
1185,00;0,02;3,72;1,21;0,20;0,237;;
1186,00;0,02;3,72;1,20;0,20;0,2372;;
1187,00;0,02;3,68;1,22;0,21;0,2374;;
1188,00;0,02;3,68;1,22;0,20;0,2376;;
1189,00;0,02;3,72;1,23;0,21;0,2378;;
1190,00;0,02;3,72;1,22;0,20;0,238;;
1191,00;0,02;3,68;1,23;0,21;0,2382;;
1192,00;0,02;3,68;1,23;0,20;0,2384;;
1193,00;0,02;3,72;1,24;0,21;0,2386;;
1194,00;0,02;3,68;1,24;0,21;0,2388;;
1195,00;0,02;3,72;1,25;0,20;0,239;;
1196,00;0,02;3,72;1,24;0,21;0,2392;;
1197,00;0,02;3,68;1,26;0,20;0,2394;;
1198,00;0,02;3,72;1,25;0,20;0,2396;;
1199,00;0,02;3,68;1,26;0,21;0,2398;;
