X;CH1;CH2;CH3;CH4;time;Start;Increment
Sequence;Volt;Volt;Volt;Volt;c;-0,12;0,00
481,00;0,02;3,64;1,32;0,20;0,0962;;
482,00;0,02;3,64;1,32;0,20;0,0964;;
483,00;0,02;3,64;1,31;0,21;0,0966;;
484,00;0,02;3,64;1,32;0,21;0,0968;;
485,00;0,02;3,64;1,33;0,22;0,097;;
486,00;0,02;3,64;1,33;0,22;0,0972;;
487,00;0,02;3,64;1,34;0,43;0,0974;;
488,00;0,02;3,64;1,33;0,43;0,0976;;
489,00;0,02;3,64;1,34;0,65;0,0978;;
490,00;0,02;3,64;1,34;0,65;0,098;;
491,00;0,02;3,64;1,34;0,65;0,0982;;
492,00;0,02;3,64;1,34;0,65;0,0984;;
493,00;0,02;3,64;1,34;0,65;0,0986;;
494,00;0,02;3,64;1,34;0,65;0,0988;;
495,00;0,02;3,64;1,36;0,65;0,099;;
496,00;0,02;3,64;1,35;0,65;0,0992;;
497,00;0,02;3,60;1,36;0,65;0,0994;;
498,00;0,02;3,64;1,36;0,65;0,0996;;
499,00;0,02;3,72;1,35;0,65;0,0998;;
500,00;0,02;3,72;1,36;0,65;0,1;;
501,00;0,02;3,64;1,36;0,65;0,1002;;
502,00;0,02;3,64;1,36;0,65;0,1004;;
503,00;0,02;3,72;1,37;0,65;0,1006;;
504,00;0,02;3,64;1,36;0,65;0,1008;;
505,00;0,02;3,64;1,38;0,65;0,101;;
506,00;0,02;3,64;1,37;0,65;0,1012;;
507,00;0,02;3,64;1,38;0,65;0,1014;;
508,00;0,02;3,64;1,37;0,65;0,1016;;
509,00;0,02;3,64;1,38;0,65;0,1018;;
510,00;0,02;3,64;1,37;0,65;0,102;;
511,00;0,02;3,72;1,38;0,65;0,1022;;
512,00;0,02;3,64;1,38;0,65;0,1024;;
513,00;0,02;3,72;1,37;0,65;0,1026;;
514,00;0,02;3,64;1,38;0,65;0,1028;;
515,00;0,02;3,72;1,38;0,65;0,103;;
516,00;0,02;3,68;1,38;0,65;0,1032;;
