X,CH1,CH2,CH3,CH4,Start,Increment,
Sequence,Volt,Volt,Volt,Volt,-1.200000e-01,2.000000e-04
0,7.74e-03,3.86e+00,1.06e+00,2.30e-01,
1,1.03e-02,3.84e+00,1.07e+00,2.26e-01,
2,1.03e-02,3.86e+00,1.06e+00,2.26e-01,
3,7.74e-03,3.84e+00,1.07e+00,2.30e-01,
4,1.03e-02,3.86e+00,1.07e+00,2.30e-01,
5,7.74e-03,3.84e+00,1.08e+00,2.26e-01,
6,7.74e-03,3.86e+00,1.08e+00,2.26e-01,
7,1.03e-02,3.82e+00,1.09e+00,2.32e-01,
8,1.03e-02,3.86e+00,1.08e+00,2.30e-01,
9,7.74e-03,3.82e+00,1.10e+00,2.26e-01,
10,7.74e-03,3.86e+00,1.09e+00,2.30e-01,
11,1.03e-02,3.82e+00,1.11e+00,2.26e-01,
12,7.74e-03,3.86e+00,1.10e+00,2.30e-01,
13,1.03e-02,3.84e+00,1.11e+00,2.26e-01,
14,1.03e-02,3.84e+00,1.11e+00,2.30e-01,
15,7.74e-03,3.86e+00,1.12e+00,2.26e-01,
16,1.03e-02,3.86e+00,1.12e+00,2.26e-01,
17,7.74e-03,3.82e+00,1.13e+00,2.32e-01,
18,7.74e-03,3.86e+00,1.12e+00,2.28e-01,
19,1.03e-02,3.82e+00,1.14e+00,2.32e-01,
20,1.03e-02,3.86e+00,1.13e+00,2.30e-01,
21,7.74e-03,3.82e+00,1.14e+00,2.26e-01,
22,7.74e-03,3.86e+00,1.14e+00,2.28e-01,
23,1.03e-02,3.82e+00,1.16e+00,2.32e-01,
24,1.03e-02,3.82e+00,1.15e+00,2.28e-01,
25,7.74e-03,3.86e+00,1.16e+00,2.32e-01,
26,7.74e-03,3.82e+00,1.16e+00,2.28e-01,
27,1.03e-02,3.86e+00,1.17e+00,2.30e-01,
28,7.74e-03,3.82e+00,1.17e+00,2.32e-01,
29,1.03e-02,3.86e+00,1.18e+00,2.26e-01,
30,7.74e-03,3.82e+00,1.18e+00,2.28e-01,
31,1.03e-02,3.86e+00,1.19e+00,2.32e-01,
32,1.03e-02,3.82e+00,1.18e+00,2.28e-01,
33,7.74e-03,3.86e+00,1.20e+00,2.32e-01,
34,1.03e-02,3.82e+00,1.19e+00,2.28e-01,
35,7.74e-03,3.86e+00,1.20e+00,2.32e-01,
36,1.03e-02,3.82e+00,1.20e+00,2.28e-01,
37,7.74e-03,3.84e+00,1.21e+00,2.32e-01,
38,7.74e-03,3.82e+00,1.21e+00,2.28e-01,
39,1.03e-02,3.84e+00,1.22e+00,2.32e-01,
40,1.03e-02,3.84e+00,1.22e+00,2.28e-01,
41,7.74e-03,3.82e+00,1.23e+00,2.32e-01,
42,1.03e-02,3.84e+00,1.22e+00,2.32e-01,
43,7.74e-03,3.82e+00,1.24e+00,2.28e-01,
44,7.74e-03,3.82e+00,1.23e+00,2.28e-01,
45,1.03e-02,3.84e+00,1.24e+00,2.32e-01,
46,1.03e-02,3.82e+00,1.24e+00,2.28e-01,
47,7.74e-03,3.86e+00,1.25e+00,2.32e-01,
48,1.03e-02,3.82e+00,1.25e+00,2.32e-01,
49,7.74e-03,3.86e+00,1.26e+00,2.28e-01,
50,1.03e-02,3.86e+00,1.26e+00,2.30e-01,
