424.26	35.13	38.5	40.88	43.88	47.25	50.56	53.81	55.31	60.13	61.81	65.81	69.06	75.94	77.19
427.45	35.19	38.63	41.0	43.94	47.31	50.69	53.94	55.38	60.25	61.94	65.87	69.19	76.06	77.25
429.65	35.25	38.63	41.0	44.0	47.38	50.75	53.94	55.5	60.25	62.0	66.0	69.19	76.12	77.31
447.98	35.63	39.06	41.5	44.5	47.88	51.25	54.5	56.0	60.81	62.5	66.5	69.69	76.56	77.75
451.19	35.69	39.13	41.56	44.56	47.94	51.38	54.56	56.13	60.94	62.63	66.56	69.75	76.62	77.81
453.38	35.69	39.19	41.63	44.63	48.0	51.38	54.69	56.13	60.94	62.63	66.62	69.87	76.69	77.87
471.7	36.0	39.5	42.0	45.0	48.44	51.88	55.13	56.56	61.38	63.06	67.06	70.25	77.06	78.19
474.9	36.06	39.56	42.06	45.06	48.5	51.88	55.13	56.69	61.44	63.13	67.12	70.31	77.12	78.25
477.09	36.13	39.63	42.13	45.13	48.56	51.94	55.19	56.69	61.5	63.19	67.19	70.44	77.19	78.31
497.46	36.38	39.94	42.44	45.56	49.0	52.38	55.69	57.19	61.94	63.63	67.62	70.81	77.62	78.69
500.65	36.44	40.0	42.56	45.56	49.06	52.44	55.75	57.25	62.0	63.69	67.75	70.87	77.69	78.75
502.86	36.44	40.0	42.56	45.63	49.06	52.44	55.75	57.25	62.06	63.75	67.75	70.94	77.69	78.75
506.08	36.5	40.06	42.63	45.69	49.19	52.56	55.81	57.31	62.13	63.81	67.81	71.0	77.75	78.81
512.38	36.56	40.19	42.69	45.81	49.25	52.69	55.94	57.44	62.25	63.94	67.94	71.06	77.87	78.87
526.63	36.75	40.38	43.0	46.06	49.56	52.94	56.19	57.69	62.5	64.19	68.19	71.37	78.12	79.19
529.84	36.81	40.44	43.06	46.13	49.63	53.06	56.31	57.75	62.56	64.25	68.31	71.37	78.19	79.25
532.05	36.81	40.44	43.06	46.13	49.63	53.06	56.31	57.81	62.63	64.25	68.31	71.44	78.25	79.31
535.25	36.88	40.5	43.13	46.19	49.69	53.13	56.38	57.88	62.69	64.37	68.37	71.5	78.31	79.37
537.44	36.88	40.56	43.13	46.25	49.75	53.19	56.44	57.88	62.75	64.37	68.44	71.56	78.37	79.37
551.74	37.06	40.75	43.38	46.44	50.0	53.38	56.69	58.19	63.0	64.69	68.69	71.81	78.62	79.62
554.95	37.13	40.81	43.38	46.5	50.06	53.5	56.75	58.25	63.06	64.75	68.75	71.87	78.69	79.69
557.15	37.13	40.81	43.5	46.5	50.06	53.5	56.75	58.25	63.06	64.75	68.81	71.94	78.69	79.69
560.36	37.19	40.88	43.5	46.56	50.06	53.56	56.81	58.31	63.13	64.75	68.87	72.0	78.75	79.75
